               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11167,            0.080525,            0.064623,                   0,                   0,                   0,                   0,                   0,             0.01817,                   0,               6e-05,               6e-05,             0.09946
                   1,              0.1075,            0.079734,            0.063835,                   0,                   0,                   0,                   0,                   0,            0.017461,                   0,          0.00012999,          0.00012999,             0.09883
                   2,             0.10423,            0.090005,            0.064119,                   0,                   0,                   0,                   0,                   0,            0.016954,                   0,          0.00019996,          0.00019996,              0.0982
                   3,             0.10106,             0.08939,            0.062966,                   0,                   0,                   0,                   0,                   0,            0.016681,                   0,          0.00026987,          0.00026987,             0.09757
                   4,            0.097032,            0.094889,            0.062645,                   0,                   0,                   0,                   0,                   0,            0.016306,                   0,           0.0003397,           0.0003397,             0.09694
                   5,            0.095445,            0.091151,            0.061973,                   0,                   0,                   0,                   0,                   0,            0.016429,                   0,          0.00040943,          0.00040943,            0.096309
                   6,            0.092116,             0.10021,            0.060476,                   0,                   0,                   0,                   0,                   0,            0.016395,                   0,          0.00047904,          0.00047904,            0.095679
                   7,            0.089654,            0.097796,             0.06029,                   0,                   0,                   0,                   0,                   0,            0.016755,                   0,          0.00054851,          0.00054851,            0.095049
                   8,            0.089707,             0.10612,            0.059197,                   0,                   0,                   0,                   0,                   0,            0.017596,                   0,           0.0006178,           0.0006178,            0.094418
                   9,            0.085613,             0.10713,            0.058555,                   0,                   0,                   0,                   0,                   0,            0.018061,                   0,           0.0006869,           0.0006869,            0.093787
                  10,            0.082575,            0.098466,            0.057378,                   0,                   0,                   0,                   0,                   0,            0.020425,                   0,          0.00075579,          0.00075579,            0.093156
                  11,            0.079537,             0.10153,            0.056494,                   0,                   0,                   0,                   0,                   0,            0.022647,                   0,          0.00082444,          0.00082444,            0.092524
                  12,            0.077155,             0.10334,            0.055891,                   0,                   0,                   0,                   0,                   0,            0.026282,                   0,          0.00089283,          0.00089283,            0.091893
                  13,            0.074129,            0.099854,            0.054858,                   0,                   0,                   0,                   0,                   0,            0.029685,                   0,          0.00096093,          0.00096093,            0.091261
                  14,            0.069851,            0.097765,            0.053807,                   0,                   0,                   0,                   0,                   0,            0.041094,                   0,           0.0010287,           0.0010287,            0.090629
                  15,            0.068937,            0.094714,            0.053297,                   0,                   0,                   0,                   0,                   0,            0.037785,                   0,           0.0010962,           0.0010962,            0.089996
                  16,            0.066333,            0.094479,             0.05239,                   0,                   0,                   0,                   0,                   0,            0.033383,                   0,           0.0011633,           0.0011633,            0.089363
                  17,            0.063482,            0.094609,            0.051619,                   0,                   0,                   0,                   0,                   0,            0.032767,                   0,           0.0012301,           0.0012301,             0.08873
                  18,            0.059875,            0.090207,            0.051505,                   0,                   0,                   0,                   0,                   0,            0.034335,                   0,           0.0012964,           0.0012964,            0.088096
                  19,             0.05892,            0.094283,            0.050791,                   0,                   0,                   0,                   0,                   0,            0.031657,                   0,           0.0013623,           0.0013623,            0.087462
                  20,            0.055748,            0.086804,            0.050558,                   0,                   0,                   0,                   0,                   0,            0.022568,                   0,           0.0014278,           0.0014278,            0.086828
                  21,            0.056092,            0.092997,            0.049617,                   0,                   0,                   0,                   0,                   0,            0.030107,                   0,           0.0014929,           0.0014929,            0.086193
                  22,            0.051982,            0.088352,            0.049092,                   0,                   0,                   0,                   0,                   0,            0.029352,                   0,           0.0015574,           0.0015574,            0.085557
                  23,            0.052863,            0.088597,            0.048779,                   0,                   0,                   0,                   0,                   0,            0.029772,                   0,           0.0016215,           0.0016215,            0.084921
                  24,            0.053925,            0.085805,             0.04853,                   0,                   0,                   0,                   0,                   0,            0.023449,                   0,            0.001685,            0.001685,            0.084285
                  25,            0.055119,            0.084057,            0.047589,                   0,                   0,                   0,                   0,                   0,            0.020437,                   0,            0.001748,            0.001748,            0.083648
                  26,            0.054416,            0.099593,            0.047721,                   0,                   0,                   0,                   0,                   0,            0.025783,                   0,           0.0018104,           0.0018104,             0.08301
                  27,            0.054847,            0.087561,            0.046784,                   0,                   0,                   0,                   0,                   0,            0.021982,                   0,           0.0018723,           0.0018723,            0.082372
                  28,             0.05776,            0.080203,            0.047758,                   0,                   0,                   0,                   0,                   0,              0.0199,                   0,           0.0019335,           0.0019335,            0.081733
                  29,            0.056371,            0.090467,            0.046791,                   0,                   0,                   0,                   0,                   0,            0.020366,                   0,           0.0019941,           0.0019941,            0.081094
                  30,             0.05513,            0.082442,             0.04602,                   0,                   0,                   0,                   0,                   0,            0.016916,                   0,           0.0020541,           0.0020541,            0.080454
                  31,            0.050469,            0.086152,            0.045997,                   0,                   0,                   0,                   0,                   0,            0.017775,                   0,           0.0021134,           0.0021134,            0.079813
                  32,            0.054851,            0.087241,            0.046207,                   0,                   0,                   0,                   0,                   0,            0.016775,                   0,            0.002172,            0.002172,            0.079172
                  33,            0.055978,            0.078672,            0.045711,                   0,                   0,                   0,                   0,                   0,            0.017454,                   0,           0.0022299,           0.0022299,             0.07853
                  34,            0.051925,            0.081838,            0.046118,                   0,                   0,                   0,                   0,                   0,            0.019864,                   0,           0.0022871,           0.0022871,            0.077887
                  35,            0.050635,            0.088318,            0.045678,                   0,                   0,                   0,                   0,                   0,            0.020977,                   0,           0.0023436,           0.0023436,            0.077244
                  36,            0.051729,              0.0838,            0.044804,                   0,                   0,                   0,                   0,                   0,            0.022717,                   0,           0.0023993,           0.0023993,            0.076599
                  37,            0.055152,            0.083932,            0.045439,                   0,                   0,                   0,                   0,                   0,            0.019487,                   0,           0.0024542,           0.0024542,            0.075954
                  38,            0.051473,            0.077519,            0.044644,                   0,                   0,                   0,                   0,                   0,            0.018584,                   0,           0.0025083,           0.0025083,            0.075308
                  39,             0.05263,            0.081206,            0.044277,                   0,                   0,                   0,                   0,                   0,            0.020493,                   0,           0.0025617,           0.0025617,            0.074662
                  40,            0.050922,            0.072451,            0.044857,                   0,                   0,                   0,                   0,                   0,            0.018833,                   0,           0.0026142,           0.0026142,            0.074014
                  41,            0.052208,            0.078691,            0.044751,                   0,                   0,                   0,                   0,                   0,            0.020612,                   0,           0.0026659,           0.0026659,            0.073366
                  42,            0.048485,            0.080259,            0.043329,                   0,                   0,                   0,                   0,                   0,            0.022607,                   0,           0.0027167,           0.0027167,            0.072717
                  43,            0.050633,              0.0785,            0.043391,                   0,                   0,                   0,                   0,                   0,            0.021718,                   0,           0.0027667,           0.0027667,            0.072067
                  44,            0.048045,            0.082302,            0.044047,                   0,                   0,                   0,                   0,                   0,            0.023745,                   0,           0.0028157,           0.0028157,            0.071416
                  45,            0.052827,            0.082425,            0.043721,                   0,                   0,                   0,                   0,                   0,            0.017187,                   0,           0.0028639,           0.0028639,            0.070764
                  46,            0.048016,            0.077915,            0.042689,                   0,                   0,                   0,                   0,                   0,            0.013308,                   0,           0.0029112,           0.0029112,            0.070111
                  47,             0.05018,            0.071142,            0.042879,                   0,                   0,                   0,                   0,                   0,            0.012443,                   0,           0.0029575,           0.0029575,            0.069457
                  48,            0.048688,            0.079247,            0.043301,                   0,                   0,                   0,                   0,                   0,            0.014214,                   0,           0.0030029,           0.0030029,            0.068803
                  49,            0.048393,            0.067856,            0.041326,                   0,                   0,                   0,                   0,                   0,            0.010804,                   0,           0.0030473,           0.0030473,            0.068147
                  50,            0.050093,             0.07566,            0.042628,                   0,                   0,                   0,                   0,                   0,              0.0153,                   0,           0.0030908,           0.0030908,            0.067491
                  51,            0.047391,            0.075078,            0.042192,                   0,                   0,                   0,                   0,                   0,            0.020787,                   0,           0.0031333,           0.0031333,            0.066833
                  52,            0.048434,            0.069622,            0.040263,                   0,                   0,                   0,                   0,                   0,            0.022033,                   0,           0.0031748,           0.0031748,            0.066175
                  53,            0.045715,            0.075562,            0.042585,                   0,                   0,                   0,                   0,                   0,            0.029143,                   0,           0.0032153,           0.0032153,            0.065515
                  54,            0.045745,            0.081574,            0.041188,                   0,                   0,                   0,                   0,                   0,            0.017145,                   0,           0.0032547,           0.0032547,            0.064855
                  55,            0.045611,            0.069476,            0.039867,                   0,                   0,                   0,                   0,                   0,            0.012572,                   0,           0.0032932,           0.0032932,            0.064193
                  56,            0.043305,            0.076626,            0.039538,                   0,                   0,                   0,                   0,                   0,            0.028525,                   0,           0.0033306,           0.0033306,            0.063531
                  57,            0.045878,            0.068295,            0.040924,                   0,                   0,                   0,                   0,                   0,            0.017657,                   0,            0.003367,            0.003367,            0.062867
                  58,            0.043678,            0.075905,            0.040137,                   0,                   0,                   0,                   0,                   0,            0.016666,                   0,           0.0034023,           0.0034023,            0.062202
                  59,            0.043368,             0.06916,            0.039632,                   0,                   0,                   0,                   0,                   0,            0.022459,                   0,           0.0034366,           0.0034366,            0.061537
